Name	Type	Waves	Diff Low%	Diff High%	Planet	Notes
Villainous Reception	Chicken Invasion	20	42%	62%	Limos	
Insecure Lodestone	Chicken Invasion	28	14%	42%	Limos	
Confused Ear	Feather Fields	13	16%	29%	Limos	
Dimpled Hidalgo	Chicken Invasion	24	64%	88%	Limos	
Dependable Benefactress	Boss Rush	8	94%	100%	Limos	
Medical Trivialization	Chicken Invasion	24	68%	92%	Alpha Limos	
Snarling Hellcat	Boss Rush	6	24%	30%	Alpha Limos	
Fearful Plasmid	Chicken Invasion	20	37%	57%	Alpha Limos	
Happy Rescission	Boss Rush	9	42%	51%	Alpha Limos	
Intrepid Guilloche	Chicken Invasion	7	25%	32%	Alpha Limos	
Dull Pinafore	Squawk Block	13	97%	100%	Alpha Limos	
Uncomfortable Shuffleboard	Feather Fields	11	10%	21%	Beta Limos	
Simplistic Bobbin	Darkness	18	7%	25%	Beta Limos	
Nautical Aerialist	Supernova	8	52%	60%	Alcinous	
Flamboyant Transmittance	Supernova	13	74%	87%	Alcinous	
Upright Restaurant	Boss Rush	9	89%	98%	Alcinous	
Free Unavailability	Chicken Invasion	16	96%	100%	Alpha Alcinous	
Whopping Feedback	Chicken Invasion	9	55%	64%	Beta Alcinous	
Loud Repartee	Darkness	18	68%	86%	Beta Alcinous	
Any Canebrake	Boss Rush	4	73%	77%	Chi Alcinous	
Faithful Madder	Chicken Invasion	36	8%	44%	Chi Alcinous	
Tremendous Detectability	Boss Rush	3	28%	31%	Chi Alcinous	
Glorious Agentry	Feather Fields	7	41%	48%	Chi Alcinous	
Thorough Rescission	Boss Rush	7	61%	68%	Chi Alcinous	
Favorite Pickaxe	Boss Rush	5	50%	55%	Delta Alcinous	
Frilly Amine	Squawk Block	17	87%	100%	Delta Alcinous	
Usable Potentilla	Squawk Block	15	95%	100%	Epsilon Alcinous	
Whispered Ambrosia	Chicken Invasion	20	18%	38%	Epsilon Alcinous	
Gregarious Reception	Boss Rush	5	0%	5%	Epsilon Alcinous	
Decent Bobbin	Chicken Invasion	21	68%	89%	Epsilon Alcinous	
Admired Pasturage	Feather Fields	11	88%	99%	Epsilon Alcinous	
Gaseous Gunfighter	Chicken Invasion	9	36%	45%	Epsilon Alcinous	
Experienced Examination	Chicken Invasion	10	31%	41%	Tau Alcinous	
Pitiful Examination	Chicken Invasion	21	13%	34%	Tau Alcinous	
Anxious Fusillade	Squawk Block	18	36%	54%	Tau Alcinous	
Frosty Bowrider	Chicken Invasion	18	84%	100%	Tau Alcinous	
Clean Hatbox	Darkness	18	8%	26%	Tau Alcinous	
Weak Sample	Chicken Invasion	40	83%	100%	Eta Alcinous	
Infantile Corm	Chicken Invasion	27	2%	29%	Eta Alcinous	
Scrawny Dinner	Chicken Invasion	32	48%	80%	Eta Alcinous	
Serpentine Wigeon	Chicken Invasion	14	51%	65%	Eta Alcinous	
Studious Excitement	Boss Rush	8	17%	25%	Eta Alcinous	
Ruddy Celebration	Chicken Invasion	30	71%	100%	Eta Alcinous	
Quarterly Privateer	Supernova	14	32%	46%	Pronax	
Darling Menu	Supernova	9	42%	51%	Pronax	
Jovial Attractant	Chicken Invasion	10	7%	17%	Pronax	
Flawed Liminality	Squawk Block	11	55%	66%	Alpha Pronax	
Vital Hatbox	Chicken Invasion	30	51%	81%	Alpha Pronax	
Distorted Atmosphere	Chicken Invasion	18	71%	89%	Alpha Pronax	
Closed Shirt	Chicken Invasion	5	91%	96%	Alpha Pronax	
Colorless Prequel	Squawk Block	14	51%	65%	Psi Pronax	
Paltry Guest	Squawk Block	7	31%	38%	Psi Pronax	
Embarrassed Lab	Chicken Invasion	15	36%	51%	Psi Pronax	
Caring Signature	Boss Rush	5	93%	98%	Psi Pronax	
Silky Delimitation	Boss Rush	9	15%	24%	Psi Pronax	
Nice Mandamus	Chicken Invasion	24	36%	60%	Psi Pronax	
Burly Crimp	Boss Rush	8	16%	24%	Chi Pronax	
Tubby Quantity	Chicken Invasion	27	13%	40%	Chi Pronax	
Ultimate Recrudescence	Feather Fields	13	27%	40%	Chi Pronax	
Pertinent Handcart	Chicken Invasion	12	53%	65%	Chi Pronax	
Wise Elevator	Squawk Block	15	37%	52%	Phi Pronax	
Slow Chooser	Chicken Invasion	18	34%	52%	Phi Pronax	
Immediate Cousin	Chicken Invasion	7	37%	44%	Phi Pronax	
Unpleasant Bagasse	Boss Rush	8	77%	85%	Phi Pronax	
Awkward Packinghouse	Chicken Invasion	27	73%	100%	Phi Pronax	
Failing Rentier	Darkness	16	22%	38%	Epsilon Pronax	
Profitable Gourmand	Boss Rush	7	61%	68%	Epsilon Pronax	
Gargantuan Databank	Feather Fields	7	57%	64%	Tau Pronax	
Thin Autoclave	Chicken Invasion	5	58%	63%	Tau Pronax	
Jaunty Truckstop	Chicken Invasion	24	2%	26%	Tau Pronax	
Astonishing Dowser	Chicken Invasion	6	66%	72%	Tau Pronax	
Turbulent Loden	Feather Fields	15	3%	18%	Sigma Pronax	
Unkempt Subspace	Squawk Block	19	44%	63%	Sigma Pronax	
Austere Bioweapon	Chicken Invasion	40	60%	100%	Sigma Pronax	
Uneven Hellion	Chicken Invasion	20	70%	90%	Theta Pronax	
Rectangular Titmouse	Chicken Invasion	15	84%	99%	Theta Pronax	
Flashy Photonics	Chicken Invasion	10	31%	41%	Theta Pronax	
Rare Interdict	Chicken Invasion	5	31%	36%	Theta Pronax	
Hopeful Disinvestment	Chicken Invasion	40	80%	100%	Theta Pronax	
Mature Holloware	Supernova	14	46%	60%	Amphithea	
Puny Presider	Comet Chase	15	90%	100%	Amphithea	
Worried Pawnbroker	Chicken Invasion	36	61%	97%	Amphithea	
Shameful Giantess	Chicken Invasion	10	58%	68%	Alpha Amphithea	
Uncomfortable Photonics	Darkness	6	36%	42%	Alpha Amphithea	
Double Revetment	Boss Rush	7	95%	100%	Beta Amphithea	
Infinite Plasterwork	Chicken Invasion	6	86%	92%	Beta Amphithea	
Neglected Obligation	Chicken Invasion	16	84%	100%	Chi Amphithea	
Weekly Preference	Squawk Block	15	15%	30%	Chi Amphithea	
Witty Hopscotch	Squawk Block	18	5%	23%	Chi Amphithea	
Junior Cordage	Chicken Invasion	28	48%	76%	Chi Amphithea	
Querulous Relation	Supernova	13	51%	64%	Pyrrhichos	
Vivid Provenience	Supernova	6	3%	9%	Pyrrhichos	
Sad Aerialist	Supernova	9	57%	66%	Pyrrhichos	
Sniveling Hermeneutic	Boss Rush	9	39%	48%	Pyrrhichos	
Previous Chinaberry	Chicken Invasion	7	35%	42%	Pyrrhichos	
Pesky Clairvoyance	Boss Rush	4	49%	53%	Alpha Pyrrhichos	
Made-up Drama	Chicken Invasion	30	65%	95%	Alpha Pyrrhichos	
Eminent Bath	Feather Fields	13	67%	80%	Alpha Pyrrhichos	
Negligible Union	Chicken Invasion	21	62%	83%	Alpha Pyrrhichos	
Loud Restorationist	Chicken Invasion	32	65%	97%	Alpha Pyrrhichos	
Terrible Cordage	Comet Chase	6	85%	91%	Alpha Pyrrhichos	
Cooked Collimator	Squawk Block	8	15%	23%	Psi Pyrrhichos	
Sandy Inculcation	Chicken Invasion	7	32%	39%	Psi Pyrrhichos	
Wiggly Portcullis	Chicken Invasion	5	59%	64%	Psi Pyrrhichos	
Fumbling Guesstimate	Chicken Invasion	40	86%	100%	Psi Pyrrhichos	
Admired Possession	Chicken Invasion	12	99%	100%	Psi Pyrrhichos	
Carefree Pretentiousness	Chicken Invasion	24	85%	100%	Chi Pyrrhichos	
Itchy Gamesmanship	Chicken Invasion	10	59%	69%	Chi Pyrrhichos	
Married Gunrunner	Boss Rush	7	22%	29%	Chi Pyrrhichos	
Strict Volume	Darkness	6	91%	97%	Chi Pyrrhichos	
Apprehensive Hypercar	Comet Chase	7	17%	24%	Delta Pyrrhichos	
Difficult Rounders	Chicken Invasion	40	24%	64%	Delta Pyrrhichos	
Twin Kibble	Boss Rush	9	15%	24%	Delta Pyrrhichos	
Made-up Contract	Boss Rush	7	25%	32%	Delta Pyrrhichos	
Corny Evaporator	Chicken Invasion	16	20%	36%	Delta Pyrrhichos	
Pleased Pushrod	Chicken Invasion	20	22%	42%	Zeta Pyrrhichos	
Soulful Datastream	Chicken Invasion	18	77%	95%	Zeta Pyrrhichos	
Right Jib	Squawk Block	10	7%	17%	Zeta Pyrrhichos	
Chief Larch	Chicken Invasion	24	19%	43%	Eta Pyrrhichos	
Modern Contract	Supernova	6	6%	12%	Delphin	
Good-natured Factuality	Supernova	14	94%	100%	Delphin	
Fickle Gastronome	Chicken Invasion	10	98%	100%	Delphin	
Agile Enumerator	Chicken Invasion	36	86%	100%	Delphin	
Puzzling Aeroplane	Boss Rush	9	92%	100%	Alpha Delphin	
Deficient Enucleation	Comet Chase	13	94%	100%	Alpha Delphin	
Doting Dishcloth	Chicken Invasion	40	48%	88%	Alpha Delphin	
Wary Faery	Boss Rush	4	14%	18%	Alpha Delphin	
Pleasing Transportation	Supernova	11	84%	95%	Demeter	
Nonstop Potentilla	Chicken Invasion	40	48%	88%	Demeter	
Querulous Distractor	Boss Rush	3	84%	87%	Demeter	
Flaky Safehouse	Chicken Invasion	15	61%	76%	Alpha Demeter	
Scaly Blackfly	Boss Rush	9	51%	60%	Alpha Demeter	
Nautical Heatwave	Chicken Invasion	8	93%	100%	Alpha Demeter	
Feisty Loess	Chicken Invasion	10	55%	65%	Gamma Demeter	
Round Chambray	Boss Rush	9	45%	54%	Gamma Demeter	
Jam-packed Pone	Squawk Block	13	86%	99%	Gamma Demeter	
Hospitable Sureness	Supernova	8	99%	100%	Calchas	
Adorable Krater	Supernova	14	39%	53%	Calchas	
Kind Championship	Chicken Invasion	20	6%	26%	Calchas	
Brief Toile	Key Rush	30	25%	100%	Calchas	
Delirious Speech	Squawk Block	14	24%	38%	Calchas	
Same Guest	Chicken Invasion	5	70%	75%	Calchas	
Husky Shim	Boss Rush	6	44%	50%	Alpha Calchas	
Shameful Bollard	Squawk Block	5	27%	32%	Alpha Calchas	
Zany Flutist	Chicken Invasion	12	6%	18%	Alpha Calchas	
Pointless Possibility	Chicken Invasion	15	43%	58%	Psi Calchas	
Eager Paladin	Comet Chase	7	90%	97%	Psi Calchas	
Stable Honey	Chicken Invasion	30	85%	100%	Psi Calchas	
Trim Proprietress	Meteor Storm	10	96%	100%	Moloch	
Second Affair	Meteor Storm	9	49%	58%	Moloch	
Moral Vanload	Meteor Storm	5	42%	47%	Moloch	
Stable Jackknife	Meteor Storm	10	12%	22%	Moloch	
Esteemed Amine	Meteor Storm	8	26%	34%	Moloch	
Serpentine Demagogy	Meteor Storm	13	89%	100%	Moloch	
Secret Metalhead	Comet Chase	5	75%	80%	Delta Calchas	
Dismal Switchover	Chicken Invasion	30	17%	47%	Delta Calchas	
Plain Trouper	Feather Fields	12	54%	66%	Delta Calchas	
Metallic Trainer	Chicken Invasion	18	51%	69%	Epsilon Calchas	
Messy Cliffside	Chicken Invasion	28	61%	89%	Epsilon Calchas	
Spotless Jailbird	Double Team	4	57%	61%	Tau Calchas	U.C.O. 4 + Mysterious
Insecure Waterspout	Boss Rush	10	78%	88%	Tau Calchas	
Speedy Magnetics	Comet Chase	14	14%	28%	Eta Calchas	
Offensive Regress	Chicken Invasion	20	17%	37%	Eta Calchas	
Warmhearted Cruet	Comet Chase	8	77%	85%	Eta Calchas	
Adolescent Chooser	Darkness	20	0%	20%	Eta Calchas	
Serious Election	Comet Chase	6	99%	100%	Eta Calchas	
Knobby Adventurousness	Supernova	10	42%	52%	Simon	
Salty Employee	Supernova	9	30%	39%	Simon	
Parallel Verbosity	Supernova	11	62%	73%	Simon	
Strident Elocution	Feather Fields	10	30%	40%	Simon	
Ill Nonperformance	Chicken Invasion	5	28%	33%	Simon	
Insidious Impeller	Feather Fields	5	10%	15%	Simon	
Guilty Buckthorn	Chicken Invasion	21	74%	95%	Simon	
Tragic Trainer	Chicken Invasion	30	94%	100%	Simon	
Bruised Taxman	Chicken Invasion	15	67%	82%	Simon	
Required Lustre	Squawk Block	6	89%	95%	Alpha Simon	
Deficient Jib	Chicken Invasion	12	85%	97%	Alpha Simon	
Ill-informed Robbin	Feather Fields	5	93%	98%	Beta Simon	
Wise Cleanout	Chicken Invasion	30	22%	52%	Beta Simon	
Hard Apparat	Boss Rush	6	96%	100%	Beta Simon	
Deadly Profession	Chicken Invasion	15	81%	96%	Beta Simon	
Victorious Quantity	Chicken Invasion	7	83%	90%	Beta Simon	
Angelic Scape	Feather Fields	9	44%	53%	Chi Simon	
Showy Truckstop	Squawk Block	17	30%	47%	Chi Simon	
Powerful Transmittance	Comet Chase	12	24%	36%	Chi Simon	
Gigantic Workpiece	Supernova	11	89%	100%	Pallas	
Exotic Bookworm	Chicken Invasion	27	78%	100%	Pallas	
Ambitious Thermoregulation	Chicken Invasion	14	25%	39%	Pallas	
Pricey Coarseness	Chicken Invasion	20	60%	80%	Alpha Pallas	
Criminal Argument	Chicken Invasion	10	63%	73%	Alpha Pallas	
Yellow Codebook	Squawk Block	16	42%	58%	Beta Pallas	
Bountiful Preference	Chicken Invasion	14	29%	43%	Gamma Pallas	
Partial Paladin	Chicken Invasion	14	72%	86%	Gamma Pallas	
Periodic Interconnectivity	Boss Rush	4	23%	27%	Gamma Pallas	
Grimy Selectman	Feather Fields	11	1%	12%	Gamma Pallas	
Unequaled Bathroom	Squawk Block	17	82%	99%	Gamma Pallas	
Potable Scarab	Chicken Invasion	15	15%	30%	Gamma Pallas	
Spicy Gesticulation	Squawk Block	13	56%	69%	Delta Pallas	
Boring Inviolability	Squawk Block	18	29%	47%	Delta Pallas	
Warmhearted Stranger	Chicken Invasion	9	81%	90%	Delta Pallas	
Plaintive Resolution	Comet Chase	14	18%	32%	Delta Pallas	
Amazing Deliveryman	Chicken Invasion	30	23%	53%	Delta Pallas	
Ordinary Coffee	Chicken Invasion	21	65%	86%	Delta Pallas	
Ripe Flatworm	Chicken Invasion	32	31%	63%	Epsilon Pallas	
Limited Teletype	Supernova	8	49%	57%	Melantho	
Grounded Disquisition	Supernova	6	95%	100%	Melantho	
Feisty Committee	Supernova	10	73%	83%	Melantho	
Stylish Homework	Feather Fields	5	51%	56%	Melantho	
Warped Combativeness	Chicken Invasion	18	50%	68%	Melantho	
Attractive Phantasm	Comet Chase	8	35%	43%	Melantho	
Practical Town	Chicken Invasion	24	91%	100%	Alpha Melantho	
Imperfect Construction	Chicken Invasion	30	8%	38%	Alpha Melantho	
Inconsequential Lavishness	Chicken Invasion	8	12%	20%	Alpha Melantho	
Assured Beanstalk	Chicken Invasion	20	24%	44%	Alpha Melantho	
Verifiable Guitar	Boss Rush	3	32%	35%	Alpha Melantho	
Elegant Lionfish	Darkness	8	74%	82%	Gamma Melantho	
Blind Icemaker	Chicken Invasion	16	81%	97%	Gamma Melantho	
Busy Edibility	Chicken Invasion	10	64%	74%	Gamma Melantho	
Sunny Vittles	Chicken Invasion	32	74%	100%	Gamma Melantho	
Immaculate Snigger	Darkness	5	28%	33%	Gamma Melantho	
Serene Brainwave	Chicken Invasion	12	43%	55%	Gamma Melantho	
Used Oysterman	Chicken Invasion	14	54%	68%	Phi Melantho	
Suburban Prequel	Chicken Invasion	21	11%	32%	Phi Melantho	
Robust Diptych	Feather Fields	11	83%	94%	Phi Melantho	
Belated Youth	Squawk Block	12	39%	51%	Phi Melantho	
Decisive Backspin	Chicken Invasion	18	81%	99%	Phi Melantho	
Multicolored Excitement	Chicken Invasion	36	74%	100%	Epsilon Melantho	
Authorized Battlefront	Supernova	12	86%	98%	Deipyle	
Serene Codebook	Supernova	6	57%	63%	Deipyle	
Unhealthy Decolletage	Supernova	12	48%	60%	Deipyle	
Giant Flammability	Squawk Block	14	91%	100%	Deipyle	
Tempting Apatosaurus	Boss Rush	9	27%	36%	Deipyle	
Thankful Insouciance	Chicken Invasion	32	8%	40%	Deipyle	
Glittering Reflection	Chicken Invasion	15	67%	82%	Alpha Deipyle	
Distant Dogmatics	Chicken Invasion	14	90%	100%	Alpha Deipyle	
Beautiful Grapeseed	Chicken Invasion	40	56%	96%	Alpha Deipyle	
Impartial Airport	Chicken Invasion	24	93%	100%	Beta Deipyle	
Common Guanine	Chicken Invasion	32	31%	63%	Beta Deipyle	
Classic Mudflat	Chicken Invasion	18	42%	60%	Beta Deipyle	
Respectful Farrago	Chicken Invasion	40	57%	97%	Beta Deipyle	
Torn Crabapple	Chicken Invasion	12	56%	68%	Beta Deipyle	
Roasted Terrapin	Chicken Invasion	8	56%	64%	Gamma Deipyle	
Outgoing Sector	Key Rush	20	25%	100%	Gamma Deipyle	
Moist Bottlebrush	Chicken Invasion	27	11%	38%	Delta Deipyle	
Attentive Chesterfield	Chicken Invasion	30	15%	45%	Delta Deipyle	
Revolving Roan	Chicken Invasion	6	97%	100%	Delta Deipyle	
Demanding Analyst	Chicken Invasion	16	21%	37%	Epsilon Deipyle	
Noteworthy Presentation	Chicken Invasion	8	52%	60%	Epsilon Deipyle	
Negative Pillory	Chicken Invasion	9	72%	81%	Epsilon Deipyle	
Appropriate Recrudescence	Feather Fields	5	97%	100%	Epsilon Deipyle	
Worthy Variegation	Chicken Invasion	14	68%	82%	Epsilon Deipyle	
Vivacious Interventionist	Squawk Block	13	24%	37%	Epsilon Deipyle	
Glossy Creel	Supernova	12	54%	66%	Agamemnon	
Glistening Chit	Supernova	5	31%	36%	Agamemnon	
Posh Oriole	Squawk Block	10	32%	42%	Agamemnon	
Sad Busywork	Chicken Invasion	14	2%	16%	Agamemnon	
Foolhardy Panfish	Chicken Invasion	8	88%	96%	Alpha Agamemnon	
Bronze Tidewater	Chicken Invasion	40	48%	88%	Alpha Agamemnon	
Functional Arrival	Chicken Invasion	21	27%	48%	Alpha Agamemnon	
Plain Blondness	Squawk Block	10	11%	21%	Alpha Agamemnon	
Compassionate Bridgework	Boss Rush	6	77%	83%	Alpha Agamemnon	
Lavish Hellion	Chicken Invasion	18	79%	97%	Beta Agamemnon	
Hilarious Myrrh	Boss Rush	7	6%	13%	Beta Agamemnon	
Unkempt Backlight	Chicken Invasion	15	2%	17%	Beta Agamemnon	
Decimal Frogman	Double Team	4	82%	86%	Chi Agamemnon	U.C.O. 4 + Super-Chick
Identical Slipknot	Chicken Invasion	10	72%	82%	Chi Agamemnon	
Hasty Blondness	Boss Rush	7	81%	88%	Delta Agamemnon	
Hard-to-find Dinner	Chicken Invasion	7	54%	61%	Delta Agamemnon	
Unwelcome Dinner	Chicken Invasion	24	51%	75%	Delta Agamemnon	
Adored Buyer	Boss Rush	3	93%	96%	Delta Agamemnon	
Earnest Sobriquet	Chicken Invasion	28	21%	49%	Delta Agamemnon	
Impolite Subspace	Chicken Invasion	32	44%	76%	Delta Agamemnon	
Celebrated Jitney	Chicken Invasion	14	78%	92%	Upsilon Agamemnon	
Unkempt Delivery	Chicken Invasion	32	33%	65%	Upsilon Agamemnon	
Damp Attender	Comet Chase	11	82%	93%	Upsilon Agamemnon	
Worthwhile Majolica	Chicken Invasion	28	87%	100%	Upsilon Agamemnon	
Unsung Cockfight	Chicken Invasion	27	39%	66%	Zeta Agamemnon	
Cluttered Forecourt	Chicken Invasion	5	60%	65%	Zeta Agamemnon	
Sorrowful Oysterman	Feather Fields	11	85%	96%	Eta Agamemnon	
Pricey Villainess	Supernova	13	78%	91%	Eurynome	
Humiliating Contract	Supernova	14	3%	17%	Eurynome	
Downright Handmaid	Squawk Block	16	93%	100%	Eurynome	
Notable Fibrin	Squawk Block	14	8%	22%	Eurynome	
Profitable Stewpot	Boss Rush	8	96%	100%	Eurynome	
Empty Daub	Comet Chase	15	93%	100%	Eurynome	
